Продукт,Калорийность,Белки,Жиры,Углеводы
"Капучино (0,3 L) [Макдоналдс]",123 кКал,"5,7 г","6,9 г","9,4 г"
"Капучино без Сахара (0,3 L) [Макдоналдс]",89 кКал,"4,5 г","4,5 г","7,5 г"
"Капучино Большой (0,3 L) [Макдоналдс]",114 кКал,"5,6 г","6,4 г","8,7 г"
"Капучино Гранд (0,4 L) [Макдоналдс]",130 кКал,6 г,7 г,10 г
"Капучино Гранд без Сахара (0,4 L) [Макдоналдс]",156 кКал,"7,2 г","8,8 г",12 г
"Капучино Карамель (0,3 L) [Макдоналдс]",175 кКал,7 г,"6,5 г",24 г
"Капучино Лесной Орех (0,3 L) [Макдоналдс]",175 кКал,7 г,"6,5 г",24 г
Карри [Макдоналдс],158 кКал,"0,7 г","1,3 г","34,4 г"
Карри Снек Ролл [Макдоналдс],350 кКал,12 г,16 г,41 г
Картофель по-Деревенски [Макдоналдс],243 кКал,"3,4 г",11 г,31 г
Картофель по-деревенски McDonalds [Макдоналдс],330 кКал,4 г,15 г,42 г
Картофель фри (большая порция) [Макдоналдс],505 кКал,8 г,26 г,66 г
Картофель Фри (Большой) [Макдоналдс],434 кКал,"5,2 г",21 г,54 г
Картофель Фри (Детская Порция) [Макдоналдс],240 кКал,3 г,12 г,29 г
Картофель фри (маленькая порция) [Макдоналдс],235 кКал,3 г,12 г,29 г
Картофель Фри (Маленькая) [Макдоналдс],231 кКал,"2,8 г",11 г,29 г
Картофель фри (стандартная порция) [Макдоналдс],340 кКал,5 г,17 г,42 г
Картофель Фри (Стандартный) [Макдоналдс],330 кКал,"3,9 г",16 г,41 г
Картофель фри McDonalds (большая порция) [Макдоналдс],445 кКал,5 г,22 г,54 г
Картофель фри McDonalds (маленькая порция) [Макдоналдс],240 кКал,3 г,12 г,29 г
Картофель фри McDonalds (средняя порция) [Макдоналдс],340 кКал,5 г,17 г,42 г
Картофель Фри Маленький [Макдоналдс],240 кКал,3 г,12 г,29 г
Картофельные Дипы [Макдоналдс],361 кКал,5 г,17 г,44 г
Картофельный Оладушек [Макдоналдс],132 кКал,"1,3 г","7,7 г",14 г
Картошка по-Бельгийски [Макдоналдс],204 кКал,"1,8 г",14 г,18 г
Картошка по-Деревенски [Макдоналдс],331 кКал,"4,6 г",15 г,42 г
Картошка по-Техасски Фри [Макдоналдс],436 кКал,"8,7 г",25 г,43 г
Картошка Фри [Макдоналдс],240 кКал,3 г,12 г,29 г
Картошка Фри Средняя Порция [Макдоналдс],330 кКал,"3,9 г",16 г,41 г
Кетчуп [Макдоналдс],36 кКал,"0,5 г","0,1 г","6,2 г"
Кленовый Пекан [Макдоналдс],340 кКал,4 г,23 г,29 г
Клюква и Изюм [Макдоналдс],63 кКал,"0,3 г",0 г,16 г
"Кока-Кола (0,25 L) [Макдоналдс]",110 кКал,0 г,0 г,27 г
"Кока-Кола (0,4 L) [Макдоналдс]",170 кКал,0 г,0 г,42 г
"Кока-Кола (0,5 L) [Макдоналдс]",210 кКал,0 г,0 г,53 г
Кока-Кола Лайт [Макдоналдс],2 кКал,"0,3 г",0 г,0 г
"Кока-Кола Макфизз Ваниль (0,4 L) [Макдоналдс]",127 кКал,0 г,0 г,32 г
Коктейль ванильный [Макдоналдс],400 кКал,10 г,10 г,68 г
Коктейль ванильный McDonalds 400 мл [Макдоналдс],385 кКал,9 г,7 г,71 г
Коктейль Клубничный [Макдоналдс],385 кКал,9 г,7 г,71 г
Коктейль клубничный McDonalds 400 мл [Макдоналдс],385 кКал,9 г,7 г,71 г
Коктейль Молочный Дольче Малина [Макдоналдс],235 кКал,"5,7 г","4,3 г",44 г
