Продукт,Калорийность,Белки,Жиры,Углеводы
"Бобы (фасоль фава), вареные, без соли",110 кКал,"7,6 г","0,4 г","14,25 г"
"Бобы (фасоль фава), вареные, с солью",110 кКал,"7,6 г","0,4 г","14,25 г"
"Бобы (фасоль фава), консервированные",71 кКал,"5,47 г","0,22 г","8,71 г"
"Бобы мунг (маш, фасоль золотистая), зрелые семена, вареные, без доб. соли",105 кКал,"7,02 г","0,38 г","11,55 г"
"Голубиный горох, зрелый",343 кКал,"21,7 г","1,49 г","47,78 г"
"Голубиный горох, зрелый, вареный, без соли",121 кКал,"6,76 г","0,38 г","16,55 г"
"Голубиный горох, зрелый, вареный, с солью",121 кКал,"6,76 г","0,38 г","16,55 г"
"Голубиный горох, неспелый",136 кКал,"7,2 г","1,64 г","18,78 г"
"Голубиный горох, неспелый, вареный, без соли",111 кКал,"5,96 г","1,36 г","15,29 г"
"Голубиный горох, неспелый, вареный, с солью",111 кКал,"5,96 г","1,36 г","15,29 г"
Горох колотый,364 кКал,"23,12 г","3,89 г","39,43 г"
"Горох колотый, вареный, без соли",118 кКал,"8,34 г","0,39 г","12,8 г"
"Горох колотый, вареный, с солью",116 кКал,"8,34 г","0,39 г","12,21 г"
"Горох лущеный, крупа",299 кКал,23 г,"1,6 г","48,1 г"
Горох отварной по 1-296,130 кКал,"10,5 г","0,8 г","20,4 г"
Горох отварной с копченой грудинкой по 1-298,156 кКал,"8,4 г","5,7 г","17,8 г"
"Горох стручковый, вареный, без соли",42 кКал,"3,27 г","0,23 г","4,25 г"
"Горох стручковый, вареный, с солью",40 кКал,"3,27 г","0,23 г","3,66 г"
"Горох стручковый, замороженный, вареный, без соли",52 кКал,"3,5 г","0,38 г","5,92 г"
"Горох стручковый, замороженный, вареный, с солью",50 кКал,"3,5 г","0,38 г","5,33 г"
"Горох стручковый, замороженный, неприготовленный",42 кКал,"2,8 г","0,3 г","4,1 г"
"Горох стручковый, свежий",42 кКал,"2,8 г","0,2 г","4,95 г"
"Горох, зерно цельное",298 кКал,"20,5 г",2 г,"49,5 г"
"Горох, проросшие семена",124 кКал,"8,8 г","0,68 г","27,11 г"
"Горох, проросшие семена, вареный, без соли",98 кКал,"7,05 г","0,51 г","17,08 г"
"Горох, проросшие семена, вареный, с солью",98 кКал,"7,05 г","0,51 г","17,08 г"
Горошек зелёный,81 кКал,"5,42 г","0,4 г","8,75 г"
"Горошек зелёный с морковью, консервы",38 кКал,"2,17 г","0,27 г","6,48 г"
Горошек зеленый свежий,55 кКал,5 г,"0,2 г","8,3 г"
Горошек зеленый сушеный,305 кКал,35 г,"0,4 г","40,5 г"
"Горошек зелёный, вареный, без соли",84 кКал,"5,36 г","0,22 г","10,13 г"
"Горошек зелёный, вареный, с солью",84 кКал,"5,36 г","0,22 г","10,13 г"
"Горошек зелёный, замороженный",77 кКал,"5,22 г","0,4 г","9,12 г"
"Горошек зелёный, замороженный, вареный, без соли",78 кКал,"5,15 г","0,27 г","9,76 г"
"Горошек зелёный, замороженный, вареный, с солью",78 кКал,"5,15 г","0,27 г","9,76 г"
"Горошек зелёный, консервированный",58 кКал,"3,01 г","0,48 г","7,3 г"
"Горошек зелёный, консервированный, без  соли",53 кКал,"3,19 г","0,3 г","6,45 г"
"Горошек зелёный, консервированный, без соли, содержимое без жидкости",69 кКал,"4,42 г","0,35 г","8,48 г"
"Горошек зелёный, консервированный, со специями",50 кКал,"3,09 г","0,27 г","7,25 г"
"Горошек зелёный, консервированный, содержимое без жидкости",68 кКал,"4,47 г","0,8 г","6,46 г"
"Горошек зелёный, консервированный, содержимое без жидкости, промытый водой",71 кКал,"4,33 г","0,95 г","11,82 г"
Горошек зеленый. Консервы,40 кКал,"3,1 г","0,2 г","6,5 г"
"Ёкан, желе из бобов адзуки (японский десерт)",260 кКал,"3,29 г","0,12 г","60,72 г"
Заменитель мяса,311 кКал,"41,71 г","2,97 г","17,21 г"
"Запеченные бобы, консервированные, без доб. соли",105 кКал,"4,8 г","0,4 г","14,99 г"
Камедь бобов рожкового дерева,222 кКал,"4,62 г","0,65 г","49,08 г"
"Колбаса, из заменителя мяса",255 кКал,"20,28 г","18,16 г","5,29 г"
"Кормовые бобы, в стучках",88 кКал,"7,92 г","0,73 г","10,13 г"
"Коровий горох (вигна китайская), catjang, зрелый",343 кКал,"23,85 г","2,07 г","48,94 г"
"Коровий горох (вигна китайская), catjang, зрелый, вареный, без соли",117 кКал,"8,13 г","0,71 г","16,72 г"
"Коровий горох (вигна китайская), catjang, зрелый, вареный, с солью",117 кКал,"8,13 г","0,71 г","16,72 г"
"Коровий горох (вигна китайская), листья",29 кКал,"4,1 г","0,25 г","4,82 г"
"Коровий горох (вигна китайская), листья, вареные, без соли",22 кКал,"4,67 г","0,1 г","2,8 г"
"Коровий горох (вигна китайская), листья, вареные, с солью",22 кКал,"4,67 г","0,1 г","2,8 г"
"Коровий горох (вигна китайская), молодые стручки с семенами, вареные, без соли",34 кКал,"2,6 г","0,3 г",7 г
"Коровий горох (вигна китайская), молодые стручки с семенами, вареные, с солью",34 кКал,"2,6 г","0,3 г",7 г
"Коровий горох (вигна китайская), молодые стручки с семенами, сырые",44 кКал,"3,3 г","0,3 г","6,2 г"
"Крылатые бобы (спаржевый горох, квадратный горох), зрелые",409 кКал,"29,65 г","16,32 г","15,81 г"
"Крылатые бобы (спаржевый горох, квадратный горох), зрелые, вареные, вареная, без соли",147 кКал,"10,62 г","5,84 г","14,94 г"
"Крылатые бобы (спаржевый горох, квадратный горох), зрелые, вареные, с солью",147 кКал,"10,62 г","5,84 г","14,94 г"
"Крылатые бобы (спаржевый горох, квадратный горох), клубни, сырые",148 кКал,"11,6 г","0,9 г","28,1 г"
"Крылатые бобы (спаржевый горох, квадратный горох), листья, сырые",74 кКал,"5,85 г","1,1 г","14,1 г"
"Крылатые бобы (спаржевый горох, квадратный горох), незрелые",49 кКал,"6,95 г","0,87 г","4,31 г"
"Крылатые бобы (спаржевый горох, квадратный горох), незрелые, вареные, без соли",38 кКал,"5,31 г","0,66 г","3,21 г"
"Крылатые бобы (спаржевый горох, квадратный горох), незрелые, вареные, с солью",37 кКал,"5,31 г","0,66 г","3,21 г"
"Кукуруза желтая, консервированная, промытая водой",64 кКал,"2,18 г","1,43 г","11,32 г"
"Лимская фасоль Фордхук, незрелая, замороженная",106 кКал,"6,4 г","0,35 г","14,33 г"
"Лимская фасоль Фордхук, незрелая, замороженная, вареная без соли",103 кКал,"6,07 г","0,34 г","14,02 г"
"Лимская фасоль Фордхук, незрелая, замороженная, вареная с солью",103 кКал,"6,07 г","0,34 г","14,02 г"
"Лимская фасоль, крупная, зрелая",338 кКал,"21,46 г","0,69 г","44,38 г"
"Лимская фасоль, крупная, зрелая, вареная, без соли",115 кКал,"7,8 г","0,38 г","13,88 г"
"Лимская фасоль, крупная, зрелая, вареная, с солью",115 кКал,"7,8 г","0,38 г","13,88 г"
"Лимская фасоль, крупная, зрелая, консервированная",79 кКал,"4,93 г","0,17 г","10,11 г"
"Лимская фасоль, мелкая, зрелая",335 кКал,"20,62 г","0,93 г","42,23 г"
"Лимская фасоль, мелкая, зрелая, вареная, без соли",126 кКал,"8,04 г","0,38 г","15,61 г"
"Лимская фасоль, мелкая, зрелая, вареная, с солью",126 кКал,"8,04 г","0,38 г","15,61 г"
"Лимская фасоль, мелкая, незрелая, замороженная",132 кКал,"7,59 г","0,44 г","19,14 г"
"Лимская фасоль, мелкая, незрелая, замороженная, вареная, без соли",105 кКал,"6,65 г","0,3 г","14,65 г"
"Лимская фасоль, мелкая, незрелая, замороженная, вареная, с солью",105 кКал,"6,65 г","0,3 г","14,65 г"
"Лимская фасоль, незрелая",113 кКал,"6,84 г","0,86 г","15,27 г"
"Лимская фасоль, незрелая, вареная, без соли",123 кКал,"6,81 г","0,32 г","18,24 г"
"Лимская фасоль, незрелая, вареная, с солью",123 кКал,"6,81 г","0,32 г","18,34 г"
"Лимская фасоль, незрелая, консервированная",71 кКал,"4,07 г","0,29 г","9,73 г"
"Лимская фасоль, незрелая, консервированная, без соли",71 кКал,"4,07 г","0,29 г","9,73 г"
"Лобия (гиацинтовые бобы, египетские бобы) зрелые",344 кКал,"23,9 г","1,69 г","35,14 г"
"Лобия (гиацинтовые бобы, египетские бобы) зрелые вареные, без соли",117 кКал,"8,14 г","0,58 г","20,69 г"
"Лобия (гиацинтовые бобы, египетские бобы) зрелые вареные, с солью",117 кКал,"8,14 г","0,58 г","20,7 г"
"Лобия (гиацинтовые бобы, египетские бобы) незрелые",46 кКал,"2,1 г","0,2 г","5,89 г"
"Лобия (гиацинтовые бобы, египетские бобы) незрелые, вареные, без соли",50 кКал,"2,95 г","0,27 г","9,2 г"
"Лобия (гиацинтовые бобы, египетские бобы) незрелые, вареные, с солью",50 кКал,"2,95 г","0,27 г","9,2 г"
"Люпин (волчий боб), зрелые семена",371 кКал,"36,17 г","9,74 г","21,47 г"
"Люпин (волчий боб), зрелые семена, вареные, без соли",119 кКал,"15,57 г","2,92 г","7,08 г"
"Люпин (волчий боб), зрелые семена, вареные, с солью",116 кКал,"15,57 г","2,92 г","6,49 г"
Маш (бобы мунг),300 кКал,"23,5 г",2 г,46 г
Маш (бобы мунг),347 кКал,"23,86 г","1,15 г","46,32 г"
"Маш (бобы мунг) проросшие семена, вареные, с солью",19 кКал,"2,03 г","0,09 г","2,8 г"
"Маш (бобы мунг) проросшие семена, консервированные, сухой продукт без маринада",12 кКал,"1,4 г","0,06 г","1,34 г"
"Маш (бобы мунг), вареные, с доб. соли",105 кКал,"7,02 г","0,38 г","11,55 г"
"Маш (бобы мунг), проросшие, вареные, без соли",21 кКал,"2,03 г","0,09 г","3,39 г"
"Маш (бобы мунг), проросшие, жареные",50 кКал,"4,3 г","0,21 г","8,69 г"
"Маш (бобы мунг), проросшие, сырые",30 кКал,"3,04 г","0,18 г","4,14 г"
"Маш красный (фасоль адзуки), зрелые семена",329 кКал,"19,87 г","0,53 г","50,2 г"
"Маш красный (фасоль адзуки), зрелые семена, вареный, без соли",128 кКал,"7,52 г","0,1 г","17,47 г"
"Маш красный (фасоль адзуки), зрелые семена, вареный, с солью",128 кКал,"7,52 г","0,1 г","17,47 г"
"Маш красный (фасоль адзуки), зрелые семена, консервированный, подслащенный",237 кКал,"3,8 г","0,03 г","55,01 г"
"Маш чёрный (урд, или маи)",341 кКал,"25,21 г","1,64 г","40,69 г"
"Маш чёрный (урд, или маи), вареный, без соли",105 кКал,"7,54 г","0,55 г","11,94 г"
Мисо,198 кКал,"12,79 г","6,01 г","19,97 г"
Натто (сброженные соевые бобы),211 кКал,"19,4 г",11 г,"7,28 г"
Нут (турецкий горох),378 кКал,"20,47 г","6,04 г","50,75 г"
Нут (турецкий горох),309 кКал,"20,1 г","4,32 г","46,16 г"
"Нут (турецкий горох), вареный, без соли",164 кКал,"8,86 г","2,59 г","19,82 г"
"Нут (турецкий горох), вареный, с солью",164 кКал,"8,86 г","2,59 г","19,82 г"
"Нут (турецкий горох), консервированный",88 кКал,"4,92 г","1,95 г","9,09 г"
"Нут (турецкий горох), консервированный, промытый водой",138 кКал,"7,04 г","2,47 г","16,57 г"
"Нут (турецкий горох), консервированный, с пониженным содержанием натрия",88 кКал,"4,92 г","1,95 г","9,09 г"
"Нут (турецкий горох), консервированный, содержимое без жидкости",139 кКал,"7,05 г","2,77 г","16,13 г"
Нутовая мука,387 кКал,"22,39 г","6,69 г","47,02 г"
"Пападам, тонкая лепёшка из чечевичной муки",371 кКал,"25,56 г","3,25 г","41,27 г"
"Пюре из бобов, мексиканская кухня, консервированное",90 кКал,"4,98 г","2,01 г","9,85 г"
"Пюре из бобов, мексиканская кухня, консервированное, вегетарианское",83 кКал,"5,28 г","0,87 г","8,8 г"
"Пюре из бобов, мексиканская кухня, консервированное, обезжиренное",79 кКал,"5,34 г","0,45 г","8,8 г"
"Сарделька (сосиска), из бобового заменителя мяса",233 кКал,"19,61 г","13,73 г","3,8 г"
"Смесь бобовых (кукуруза, лимская фасоль, горох, зеленые бобы, морковь), консервированная, без добавления соли",37 кКал,"1,4 г","0,2 г","4,21 г"
Соевая вермишель,331 кКал,"0,1 г","0,1 г","78,42 г"
Соевая мука необезжиренная,385 кКал,"36,5 г","18,6 г","17,9 г"
Соевая мука обезжиренная,291 кКал,"48,9 г",1 г,"21,7 г"
Соевая мука полуобезжиренная,334 кКал,43 г,"9,5 г","19,1 г"
"Соевая мука, необезжиренная, поджаренная",439 кКал,"38,09 г","21,86 г","20,68 г"
"Соевая мука, необезжиренная, сырая",434 кКал,"37,81 г","20,65 г","22,32 г"
"Соевая мука, низкожирная",372 кКал,"49,81 г","8,9 г","14,63 г"
"Соевая мука, обезжиренная",327 кКал,"51,46 г","1,22 г","16,42 г"
"Соевое молоко, маложирное, с доб. кальция, витаминов A и D",43 кКал,"1,65 г","0,62 г","6,4 г"
"Соевое молоко, натуральное и ванильное, легкое, неподслащенное, с доб. кальция, витаминов A и D",34 кКал,"2,62 г","0,85 г","3,25 г"
"Соевое молоко, натуральное и ванильное, легкое, с доб. кальция, витаминов A и D",30 кКал,"2,38 г","0,77 г","3,21 г"
"Соевое молоко, натуральное и ванильное, необогащенное",54 кКал,"3,27 г","1,75 г","5,68 г"
"Соевое молоко, натуральное и ванильное, с доб. кальция, витаминов A и D",43 кКал,"2,6 г","1,47 г","4,72 г"
"Соевое молоко, неподслащенное, с доб. кальция, витаминов A и D",33 кКал,"2,86 г","1,61 г","1,24 г"
"Соевое молоко, обезжиренное, с доб. кальция, витаминов A и D",28 кКал,"2,47 г","0,04 г","3,94 г"
"Соевое молоко, обогащенное (витаминами А, С. Е, D, B1, В6, РР, калием, кальцием)",45 кКал,"2,94 г","1,99 г","3,05 г"
"Соевое молоко, шоколадное и другие вкусы, легкое, с доб. кальция, витаминов A и D",47 кКал,"2,1 г","0,64 г","7,54 г"
"Соевое молоко, шоколадное, необогащенное",63 кКал,"2,26 г","1,53 г","9,55 г"
"Соевое молоко, шоколадное, обезжиренное, с доб. кальция, витаминов A и D",44 кКал,"2,47 г","0,04 г","8,31 г"
"Соевое молоко, шоколадное, с доб. кальция, витаминов A и D",63 кКал,"2,26 г","1,53 г","9,55 г"
"Соевые бобы, зеленые",147 кКал,"12,95 г","6,8 г","6,85 г"
"Соевые бобы, зеленые, вареные, без соли",141 кКал,"12,35 г","6,4 г","6,85 г"
"Соевые бобы, зеленые, вареные, с солью",141 кКал,"12,35 г","6,4 г","6,85 г"
"Соевые бобы, зрелые",446 кКал,"36,49 г","19,94 г","20,86 г"
"Соевые бобы, зрелые, вареные, без доб. соли",172 кКал,"18,21 г","8,97 г","2,36 г"
"Соевые бобы, зрелые, вареные, с доб. соли",172 кКал,"18,21 г","8,97 г","2,36 г"
"Соевые бобы, зрелые, поджаренные без масла",449 кКал,"43,32 г","21,62 г","20,88 г"
"Соевые бобы, зрелые, поджаренные, без доб. соли",469 кКал,"38,55 г","25,4 г","12,52 г"
"Соевые бобы, зрелые, поджаренные, с доб. соли",469 кКал,"38,55 г","25,4 г","12,52 г"
"Соевые бобы, спелые проросшие семена, жаренные",125 кКал,"13,1 г","7,1 г","8,6 г"
"Соевые бобы, спелые проросшие семена, жаренные, с солью",125 кКал,"13,1 г","7,1 г","8,6 г"
"Соевые бобы, спелые проросшие семена, приготовленные на пару",81 кКал,"8,47 г","4,45 г","5,73 г"
"Соевые бобы, спелые проросшие семена, приготовленные на пару, с солью",81 кКал,"8,47 г","4,45 г","5,73 г"
"Соевые бобы, спелые проросшие семена, сырые",122 кКал,"13,09 г","6,7 г","8,47 г"
"Соевый жмых, обезжиренный",337 кКал,"49,2 г","2,39 г","35,89 г"
Соевый протеиновый изолят,335 кКал,"88,32 г","3,39 г",0 г
"Соевый протеиновый концентрат, технология спиртовой экстракции",328 кКал,"63,63 г","0,46 г","19,91 г"
Соевый творог,151 кКал,"12,5 г","8,1 г","6,9 г"
"Соя, зерно",364 кКал,"36,7 г","17,8 г","17,3 г"
Спаржевая фасоль вигна,47 кКал,"2,8 г","0,4 г","8,35 г"
"Спаржевая фасоль вигна, вареная, без соли",47 кКал,"2,53 г","0,1 г","9,18 г"
"Спаржевая фасоль вигна, вареная, с солью",47 кКал,"2,53 г","0,1 г","9,17 г"
"Спаржевая фасоль вигна, зрелые семена",347 кКал,"24,33 г","1,31 г","50,91 г"
"Спаржевая фасоль вигна, зрелые семена, вареная с солью",118 кКал,"8,29 г","0,45 г","17,29 г"
"Спаржевая фасоль вигна, зрелые семена, вареная, без соли",118 кКал,"8,29 г","0,45 г","17,29 г"
"Спред для сэндвичей, из заменителя мяса",149 кКал,8 г,9 г,"5,7 г"
"Суккоташ (смесь кукурузы и лимской фасоли), вареная, без соли",115 кКал,"5,07 г","0,8 г","19,88 г"
"Суккоташ (смесь кукурузы и лимской фасоли), вареная, с солью",111 кКал,"5,07 г","0,8 г","24,37 г"
"Суккоташ (смесь кукурузы и лимской фасоли), замороженная",93 кКал,"4,31 г","0,89 г","15,94 г"
"Суккоташ (смесь кукурузы и лимской фасоли), замороженная, вареная, без соли",93 кКал,"4,31 г","0,89 г","15,85 г"
"Суккоташ (смесь кукурузы и лимской фасоли), замороженная, вареная, с солью",93 кКал,"4,31 г","0,89 г","15,85 г"
"Суккоташ (смесь кукурузы и лимской фасоли), с раздавленными зарнами кукурузы, консервированная",77 кКал,"2,64 г","0,54 г","14,61 г"
"Суккоташ (смесь кукурузы и лимской фасоли), с цельными зарнами кукурузы, консервированная",63 кКал,"2,6 г","0,49 г","11,38 г"
"Суккоташ (смесь кукурузы и лимской фасоли), сырая",99 кКал,"5,03 г","1,02 г","15,79 г"
Темпе,192 кКал,"20,29 г","10,8 г","7,64 г"
"Темпе, приготовленный",195 кКал,"19,91 г","11,38 г","7,62 г"
Тофу йогурт,94 кКал,"3,5 г","1,8 г","15,76 г"
Тофу ферментированный (fuyu),116 кКал,"8,92 г",8 г,"4,38 г"
"Тофу ферментированный (fuyu), приготовленный с сульфатом кальция",116 кКал,"8,15 г",8 г,"5,15 г"
"Тофу, жареный",270 кКал,"18,82 г","20,18 г","4,96 г"
"Тофу, жареный, приготовлен с сульфатом кальция",270 кКал,"18,82 г","20,18 г","4,96 г"
"Тофу, мягкий, приготовленный с сульфатом кальция и хлоридом магния (нигари)",61 кКал,"7,17 г","3,69 г","0,98 г"
"Тофу, окара (соевый жмых)",76 кКал,"3,52 г","1,73 г","12,23 г"
"Тофу, плотый, приготовленный с сульфатом кальция и хлоридом магния (нигари)",78 кКал,"9,04 г","4,17 г","1,95 г"
"Тофу, сушено-замороженный (Коядофу)",477 кКал,"52,47 г","30,34 г","2,83 г"
"Тофу, сушено-замороженный (Коядофу), приготовленный с сульфатом кальция",470 кКал,"52,43 г","30,34 г","7,1 г"
"Тофу, сырой, обычный, 8% белка, приготовленный с сульфатом кальция",76 кКал,"8,08 г","4,78 г","1,57 г"
"Тофу, сырой, твёрдый, приготовленный с сульфатом кальция",144 кКал,"17,27 г","8,72 г","0,48 г"
"Тофу, твёрдый 10% белка, приготовленный с сульфатом кальция и хлоридом магния (нигари)",83 кКал,"9,98 г","5,26 г","0,18 г"
"Тофу, твердый 12,7% белка, приготовленный с сульфатом кальция и хлоридом магния (нигари)",145 кКал,"12,68 г","9,99 г","3,79 г"
Фалафель домашнего приготовления,333 кКал,"13,31 г","17,8 г","31,84 г"
Фасолевый отвар из-под тушеной фасоли кидни,47 кКал,"1,8 г","3,2 г","2,7 г"
"Фасоль белая (великие северные бобы), зрелая",339 кКал,"21,86 г","1,14 г","42,17 г"
"Фасоль белая (великие северные бобы), зрелая, вареная, без соли",118 кКал,"8,33 г","0,45 г","14,09 г"
"Фасоль белая (великие северные бобы), зрелая, вареная, с солью",118 кКал,"8,33 г","0,45 г","14,09 г"
"Фасоль белая (великие северные бобы), зрелая, консервированная",114 кКал,"7,37 г","0,39 г","16,12 г"
"Фасоль белая (великие северные бобы), зрелая, консервированная, с пониженным содержанием натрия",114 кКал,"7,37 г","0,39 г","16,12 г"
"Фасоль белая Нэви, зрелые семена",337 кКал,"22,33 г","1,5 г","45,45 г"
"Фасоль белая Нэви, зрелые семена, вареная, без доб. соли",140 кКал,"8,23 г","0,62 г","15,55 г"
"Фасоль белая Нэви, зрелые семена, вареная, с доб. соли",140 кКал,"8,23 г","0,62 г","15,55 г"
"Фасоль белая Нэви, зрелые семена, консервированная",113 кКал,"7,53 г","0,43 г","15,35 г"
"Фасоль белая Нэви, проросшая",67 кКал,"6,15 г","0,7 г","13,05 г"
"Фасоль белая Нэви, проросшая, вареная без соли",78 кКал,"7,07 г","0,81 г","15,01 г"
"Фасоль белая Нэви, проросшая, вареная с солью",78 кКал,"7,07 г","0,81 г","15,01 г"
"Фасоль белая, зрелые семена",333 кКал,"23,36 г","0,85 г","45,07 г"
"Фасоль белая, зрелые семена, вареная, без соли",139 кКал,"9,73 г","0,35 г","18,79 г"
"Фасоль белая, зрелые семена, вареная, с солью",139 кКал,"9,73 г","0,35 г","18,79 г"
"Фасоль белая, зрелые семена, консервированная",114 кКал,"7,26 г","0,29 г","16,4 г"
"Фасоль белая, мелкая, зрелые семена",336 кКал,"21,11 г","1,18 г","37,35 г"
"Фасоль белая, мелкая, зрелые семена, вареная, без соли",142 кКал,"8,97 г","0,64 г","15,41 г"
"Фасоль белая, мелкая, зрелые семена, вареная, с солью",142 кКал,"8,97 г","0,64 г","15,41 г"
"Фасоль желтая, зрелые семена",345 кКал,22 г,"2,6 г","35,6 г"
"Фасоль желтая, зрелые семена, вареная, без соли",144 кКал,"9,16 г","1,08 г","14,88 г"
"Фасоль желтая, зрелые семена, вареная, с солью",144 кКал,"9,16 г","1,08 г","14,88 г"
"Фасоль кидни красная, зрелая",337 кКал,"22,53 г","1,06 г","46,09 г"
"Фасоль кидни красная, зрелая, вареная без соли",127 кКал,"8,67 г","0,5 г","15,4 г"
"Фасоль кидни красная, зрелая, вареная с солью",127 кКал,"8,67 г","0,5 г","15,4 г"
"Фасоль кидни красная, зрелая, консервированная",81 кКал,"5,22 г","0,36 г","10,53 г"
"Фасоль кидни красная, зрелая, консервированная, с пониженным содержанием натрия",81 кКал,"5,22 г","0,36 г","9,53 г"
"Фасоль кидни красная, зрелая, консервированная, содержимое без жидкости",124 кКал,"7,98 г","1,05 г","15,99 г"
"Фасоль кидни красная, зрелая, консервированная, содержимое без жидкости, промытая водой",121 кКал,"8,12 г","0,93 г","14,8 г"
"Фасоль кидни красная, калифорнийская, зрелая, вареная, без доб. соли",124 кКал,"9,13 г","0,09 г","13,11 г"
"Фасоль кидни красная, калифорнийская, зрелая, вареная, с доб. соли",124 кКал,"9,13 г","0,09 г","13,11 г"
"Фасоль кидни красная, калифорнийская, зрелая, сырая",330 кКал,"24,37 г","0,25 г","34,9 г"
"Фасоль кидни красная, королевская, зрелая",329 кКал,"25,33 г","0,45 г","33,43 г"
"Фасоль кидни красная, королевская, зрелая, вареная, без доб. соли",123 кКал,"9,49 г","0,17 г","12,55 г"
"Фасоль кидни красная, королевская, зрелая, вареная, с доб. соли",123 кКал,"9,49 г","0,17 г","12,55 г"
"Фасоль кидни, все виды, зрелая",333 кКал,"23,58 г","0,83 г","35,11 г"
"Фасоль кидни, все виды, зрелая, вареная, без соли",127 кКал,"8,67 г","0,5 г","16,4 г"
"Фасоль кидни, все виды, зрелая, вареная, с солью",127 кКал,"8,67 г","0,5 г","16,4 г"
"Фасоль кидни, все виды, зрелая, консервированная",84 кКал,"5,22 г","0,6 г","10,2 г"
"Фасоль кидни, проросшая",29 кКал,"4,2 г","0,5 г","4,1 г"
"Фасоль кидни, проросшая, вареная без соли",33 кКал,"4,83 г","0,58 г","4,72 г"
"Фасоль кидни, проросшая, вареная с солью",33 кКал,"4,83 г","0,58 г","4,72 г"
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена",335 кКал,"23,03 г","1,23 г","35,35 г"
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена, вареная, без соли",136 кКал,"9,34 г","0,46 г","15,86 г"
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена, вареная, с солью",136 кКал,"9,34 г","0,46 г","15,86 г"
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена, консервированная",83 кКал,"5,54 г","0,28 г","8,82 г"
Фасоль мотыльковая (mothbeans),343 кКал,"22,94 г","1,61 г","61,52 г"
